"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2267","Search Product","firefox","Mon Aug 04 09:22:08 PKT 2025","failed","Mon Aug 04 09:22:10 PKT 2025","","demo\signup.spec.ts","",""
"","4582","Verify Subscription in Home Page","firefox","Mon Aug 04 09:22:12 PKT 2025","failed","Mon Aug 04 09:22:16 PKT 2025","","demo\signup.spec.ts","",""
"","2060","Select first product of brand","firefox","Mon Aug 04 09:24:41 PKT 2025","failed","Mon Aug 04 09:24:43 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","2640","Login User with correct credentials","firefox","Mon Aug 04 09:21:44 PKT 2025","failed","Mon Aug 04 09:21:47 PKT 2025","","demo\signup.spec.ts","",""
"","2319","View Category Products","firefox","Mon Aug 04 09:24:31 PKT 2025","failed","Mon Aug 04 09:24:33 PKT 2025","","demo\signup.spec.ts","",""
"","2513","Contact Us Form","firefox","Mon Aug 04 09:21:56 PKT 2025","failed","Mon Aug 04 09:21:58 PKT 2025","","demo\signup.spec.ts","",""
"","2287","Select Mast & Harbour brand","firefox","Mon Aug 04 09:24:37 PKT 2025","failed","Mon Aug 04 09:24:40 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","2195","Add product to cart","firefox","Mon Aug 04 09:24:48 PKT 2025","failed","Mon Aug 04 09:24:50 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","2829","Login User with Incorrect credentials","firefox","Mon Aug 04 09:21:48 PKT 2025","failed","Mon Aug 04 09:21:51 PKT 2025","","demo\signup.spec.ts","",""
"","2663","Verify Test Cases Page","firefox","Mon Aug 04 09:21:59 PKT 2025","failed","Mon Aug 04 09:22:02 PKT 2025","","demo\signup.spec.ts","",""
"","3132","Signup User","firefox","Mon Aug 04 09:21:40 PKT 2025","failed","Mon Aug 04 09:21:43 PKT 2025","","demo\signup.spec.ts","",""
"","2255","Proceed to checkout","firefox","Mon Aug 04 09:24:55 PKT 2025","failed","Mon Aug 04 09:24:57 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","3744","Verify All Products and product detail page","firefox","Mon Aug 04 09:22:03 PKT 2025","failed","Mon Aug 04 09:22:07 PKT 2025","","demo\signup.spec.ts","",""
"","120027","Place Order: Register while Checkout","firefox","Mon Aug 04 09:22:29 PKT 2025","broken","Mon Aug 04 09:24:29 PKT 2025","","demo\signup.spec.ts","",""
"","2342","Verify Subscription in Cart Page","firefox","Mon Aug 04 09:22:18 PKT 2025","failed","Mon Aug 04 09:22:20 PKT 2025","","demo\signup.spec.ts","",""
"","2270","Set quantity to 5","firefox","Mon Aug 04 09:24:44 PKT 2025","failed","Mon Aug 04 09:24:47 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","2568","Verify Product quantity in Cart","firefox","Mon Aug 04 09:22:25 PKT 2025","failed","Mon Aug 04 09:22:27 PKT 2025","","demo\signup.spec.ts","",""
"","2209","View cart","firefox","Mon Aug 04 09:24:51 PKT 2025","failed","Mon Aug 04 09:24:54 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","2367","Add Products in Cart","firefox","Mon Aug 04 09:22:21 PKT 2025","failed","Mon Aug 04 09:22:24 PKT 2025","","demo\signup.spec.ts","",""
"","2094","Navigate to home page","firefox","Mon Aug 04 09:24:34 PKT 2025","failed","Mon Aug 04 09:24:36 PKT 2025","Mast & Harbour purchase flow","demo.spec.ts","",""
"","2767","Register User with existing email","firefox","Mon Aug 04 09:21:52 PKT 2025","failed","Mon Aug 04 09:21:55 PKT 2025","","demo\signup.spec.ts","",""
